iter	RMSE
0	0.5223985625
1	0.5145679063
2	0.506940119
3	0.4994356358
4	0.4937352736
5	0.4868418496
6	0.4814755748
7	0.4760731347
8	0.4712181216
9	0.46715639
10	0.4631494871
11	0.4597942595
12	0.4563548076
13	0.4536738604
14	0.4504133871
15	0.4466842548
16	0.4431530483
17	0.4404911195
18	0.4381251659
19	0.4361614143
20	0.4339495375
21	0.4318689178
22	0.4301050687
23	0.4279666943
24	0.4264183625
25	0.4248210762
26	0.4228278788
27	0.4215327952
28	0.4200531544
29	0.4189584105
30	0.4179779664
31	0.417134365
32	0.4156352261
33	0.4144673541
34	0.4138401995
35	0.4132103668
36	0.4126713583
37	0.4117291218
38	0.4109058159
39	0.4101416803
40	0.4090423283
41	0.4082333051
42	0.4073414242
43	0.4066856331
44	0.4059677171
45	0.4049039375
46	0.4040699458
47	0.4033224513
48	0.4023700655
49	0.4017913094
50	0.4009067057
51	0.4002678172
52	0.3998312372
53	0.3988306533
54	0.3984898422
55	0.397664301
56	0.3969445105
57	0.3963118812
58	0.3955584262
59	0.3949516107
60	0.3943703405
61	0.3936252253
62	0.3930077688
63	0.3925766272
64	0.392368215
65	0.3920029381
66	0.391651332
67	0.3911368263
68	0.3906512299
69	0.39046461
70	0.3899254273
71	0.3891303728
72	0.3887124214
73	0.388430579
74	0.3876187053
75	0.3870826892
76	0.3867070807
77	0.3863045824
78	0.3855406956
79	0.3852973879
80	0.3850284799
81	0.3844176123
82	0.3838504057
83	0.3833899495
84	0.3828494679
85	0.38216632
86	0.3815506316
87	0.3811786137
88	0.3805721939
89	0.3802420861
90	0.3799745958
91	0.3797598107
92	0.3796383517
93	0.3791438993
94	0.3788770851
95	0.3783720359
96	0.3778358295
97	0.3775501975
98	0.3770534315
99	0.376710974
