iter	Passed	Remaining
0	0	94
1	1	88
2	2	80
3	3	82
4	4	78
5	4	75
6	5	72
7	6	71
8	7	72
9	8	80
10	10	82
11	11	82
12	12	81
13	12	79
14	13	78
15	14	77
16	16	78
17	17	77
18	17	75
19	18	73
20	19	72
21	19	70
22	20	68
23	21	66
24	21	64
25	22	64
26	23	62
27	24	61
28	24	60
29	25	60
30	27	61
31	28	60
32	29	59
33	29	57
34	30	56
35	31	55
36	31	53
37	32	52
38	32	51
39	33	50
40	34	49
41	34	47
42	35	46
43	35	45
44	36	44
45	37	44
46	41	46
47	42	46
48	43	45
49	44	44
50	44	43
51	45	41
52	46	40
53	46	39
54	47	38
55	47	37
56	48	36
57	49	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	31
63	55	31
64	56	30
65	57	29
66	58	28
67	58	27
68	59	26
69	60	25
70	60	24
71	61	23
72	61	22
73	62	21
74	62	20
75	63	19
76	63	19
77	64	18
78	64	17
79	65	16
80	66	15
81	67	14
82	69	14
83	70	13
84	70	12
85	71	11
86	72	10
87	72	9
88	73	9
89	74	8
90	74	7
91	75	6
92	75	5
93	76	4
94	76	4
95	77	3
96	77	2
97	78	1
98	78	0
99	79	0
